belongs_to_collection,budget,genres,id,original_language,overview,popularity,production_companies,release_date,revenue,runtime,status,tagline,title,vote_average,vote_count,release_year,cast,keywords,cast_size,crew_size,director,text,weighted_rating,ROI
0,16500000.0,"['Drama', 'Romance']",4584,en,"Rich Mr. Dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. Two daughters are the titular opposites.",10.673167,"['Columbia Pictures Corporation', 'Mirage Enterprises']",1995-12-13,135000000.0,136.0,Released,Lose your heart and come to your senses.,Sense and Sensibility,7.2,364.0,1995.0,"['katewinslet', 'emmathompson', 'hughgrant']","['bowl', 'basedonnovel', 'servant', 'countrylif', 'janeausten', 'inherit', 'militaryoffic', 'perioddrama', 'rainstorm', 'horseandcarriag']",17,8,"['anglee', 'anglee', 'anglee']",bowl basedonnovel servant countrylif janeausten inherit militaryoffic perioddrama rainstorm horseandcarriag katewinslet emmathompson hughgrant anglee anglee anglee Drama Romance,7.033373655672476,8.181818181818182
0,4000000.0,"['Crime', 'Comedy']",5,en,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,9.026586,"['Miramax Films', 'A Band Apart']",1995-12-09,4300000.0,98.0,Released,"Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life.",Four Rooms,6.5,539.0,1995.0,"['timroth', 'antoniobanderas', 'jenniferbeals']","['hotel', ""newyear'sev"", 'witch', 'bet', 'hotelroom', 'sperm', 'losangel', 'hoodlum', 'womandirector', 'episodefilm']",24,88,"['allisonanders', 'allisonanders', 'allisonanders']",hotel newyear'sev witch bet hotelroom sperm losangel hoodlum womandirector episodefilm timroth antoniobanderas jenniferbeals allisonanders allisonanders allisonanders Crime Comedy,6.425637785040624,1.075
1,30000000.0,"['Crime', 'Comedy', 'Adventure']",9273,en,"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.",8.205448,"['O Entertainment', 'Warner Bros.', 'Morgan Creek Productions']",1995-11-10,212385533.0,90.0,Released,New animals. New adventures. Same hair.,Ace Ventura: When Nature Calls,6.1,1128.0,1995.0,"['jimcarrey', 'ianmcneice', 'simoncallow']","['africa', 'indigen', 'humananimalrelationship', 'bat']",15,11,"['steveoedekerk', 'steveoedekerk', 'steveoedekerk']",africa indigen humananimalrelationship bat jimcarrey ianmcneice simoncallow steveoedekerk steveoedekerk steveoedekerk Crime Comedy Adventure,6.074992337586687,7.079517766666667
0,60000000.0,"['Action', 'Comedy', 'Crime']",11517,en,"A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him.",7.337906,['Columbia Pictures'],1995-11-21,35431113.0,103.0,Released,"Get on, or GET OUT THE WAY!",Money Train,5.4,224.0,1995.0,"['wesleysnipes', 'woodyharrelson', 'jenniferlopez']","['brotherbrotherrelationship', 'subway', 'newyorkc', 'newyorksubway', 'trainrobberi']",15,44,"['josephruben', 'josephruben', 'josephruben']",brotherbrotherrelationship subway newyorkc newyorksubway trainrobberi wesleysnipes woodyharrelson jenniferlopez josephruben josephruben josephruben Action Comedy Crime,5.379598797734818,0.59051855
1,30250000.0,"['Comedy', 'Thriller', 'Crime']",8012,en,"Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.",12.669608,"['Jersey Films', 'Metro-Goldwyn-Mayer (MGM)']",1995-10-20,115101622.0,105.0,Released,"The mob is tough, but it’s nothing like show business.",Get Shorty,6.4,305.0,1995.0,"['johntravolta', 'genehackman', 'renerusso']","['gambl', 'miami', 'basedonnovel', 'job', 'murder', 'travel', 'mafia', 'money', 'debt', 'mobster', 'busi', 'hollywood', 'gangster', 'crime', 'violenc', 'drug', 'produc', 'con']",16,26,"['barrysonnenfeld', 'barrysonnenfeld', 'barrysonnenfeld']",gambl miami basedonnovel job murder travel mafia money debt mobster busi hollywood gangster crime violenc drug produc con johntravolta genehackman renerusso barrysonnenfeld barrysonnenfeld barrysonnenfeld Comedy Thriller Crime,6.2844590841568175,3.805012297520661
0,50000000.0,"['Action', 'Adventure', 'Crime', 'Thriller']",9691,en,"Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself.",11.065939,"['Silver Pictures', 'Canal+', 'Warner Bros.']",1995-10-06,30303072.0,132.0,Released,"In the shadows of life, In the business of death, One man found a reason to live...",Assassins,6.0,394.0,1995.0,"['sylvesterstallone', 'antoniobanderas', 'juliannemoore']","['competit', 'assassin', 'cia', 'bank', 'cat', 'mexicanstandoff', 'seattl', 'hitman', 'missionofmurd', 'hiddencamera', 'rivalri', 'rescu', 'shootout', 'policechas', 'sniperrifl', 'silenc', 'doublecross', 'caribbean', 'detroitmichigan']",17,71,"['richarddonner', 'richarddonner', 'richarddonner']",competit assassin cia bank cat mexicanstandoff seattl hitman missionofmurd hiddencamera rivalri rescu shootout policechas sniperrifl silenc doublecross caribbean detroitmichigan sylvesterstallone antoniobanderas juliannemoore richarddonner richarddonner richarddonner Action Adventure Crime Thriller,5.940130742688387,0.60606144
0,3600000.0,"['Drama', 'Romance']",451,en,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",10.332025,"['United Artists', 'Intial Productions']",1995-10-27,49800000.0,112.0,Released,I Love You... The Way You Are.,Leaving Las Vegas,7.1,365.0,1995.0,"['nicolascage', 'elisabethshue', 'juliansands']","['individu', 'prostitut', 'alcohol', 'casino', 'loveatfirstsight', 'lovesick', 'filmproduc', 'screenwrit', 'hotelroom', 'dyinganddeath', 'rageandh', 'unsoci', 'alcohol', 'losangel', 'alcoholabus', 'attemptedsuicid']",14,12,"['mikefiggis', 'mikefiggis', 'mikefiggis']",individu prostitut alcohol casino loveatfirstsight lovesick filmproduc screenwrit hotelroom dyinganddeath rageandh unsoci alcohol losangel alcoholabus attemptedsuicid nicolascage elisabethshue juliansands mikefiggis mikefiggis mikefiggis Drama Romance,6.942290221533295,13.833333333333334
0,12000000.0,"['Comedy', 'Drama', 'Family']",9263,en,"Waxing nostalgic about the bittersweet passage from childhood to puberty in this tender coming-of-age tale, four childhood girlfriends -- Teeny, Chrissy, Samantha and Roberta -- recall the magical summer of 1970. During their walk down memory lane, they reconcile experiences with boys, secrets, bullies and more.",8.681325,['New Line Cinema'],1995-10-20,27400000.0,100.0,Released,In every woman there is the girl she left behind.,Now and Then,6.6,91.0,1995.0,"['christinaricci', ""rosieo'donnell"", 'thorabirch']","['1970s', 'femalefriendship', 'comingofag', 'gynecologist', 'womandirector']",16,8,"['leslilinkaglatter', 'leslilinkaglatter', 'leslilinkaglatter']",1970s femalefriendship comingofag gynecologist womandirector christinaricci rosieo'donnell thorabirch leslilinkaglatter leslilinkaglatter leslilinkaglatter Comedy Drama Family,6.234254671534268,2.283333333333333
0,18000000.0,"['Fantasy', 'Science Fiction', 'Adventure']",902,fr,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",9.822423,"['Procirep', 'Constellation Productions', 'France 3 Cinéma']",1995-05-16,1738611.0,108.0,Released,Where happily ever after is just a dream.,The City of Lost Children,7.6,308.0,1995.0,"['ronperlman', 'dominiquepinon', 'judithvittet']","['clone', 'dream', 'island', 'eye', 'dystopia', 'age', 'friendship', 'rescu', 'children', 'girl', 'childhood']",37,21,"['jean-pierrejeunet', 'jean-pierrejeunet', 'jean-pierrejeunet']",clone dream island eye dystopia age friendship rescu children girl childhood ronperlman dominiquepinon judithvittet jean-pierrejeunet jean-pierrejeunet jean-pierrejeunet Fantasy Science Fiction Adventure,7.366519208785183,0.0965895
0,29500000.0,"['Science Fiction', 'Thriller', 'Mystery']",63,en,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.",12.297305,"['Universal Pictures', 'Atlas Entertainment', 'Classico']",1995-12-29,168840000.0,129.0,Released,The future is history.,Twelve Monkeys,7.4,2470.0,1995.0,"['brucewillis', 'madeleinestowe', 'bradpitt']","['schizophrenia', 'philadelphia', 'timetravel', 'post-apocalypt', 'dystopia', 'lethalvirus', 'monkey', 'subterranean']",65,151,"['terrygilliam', 'terrygilliam', 'terrygilliam']",schizophrenia philadelphia timetravel post-apocalypt dystopia lethalvirus monkey subterranean brucewillis madeleinestowe bradpitt terrygilliam terrygilliam terrygilliam Science Fiction Thriller Mystery,7.370744945554219,5.7233898305084745
1,30000000.0,"['Fantasy', 'Drama', 'Comedy', 'Family']",9598,en,"Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mom, Babe realizes that he has the makings to become the greatest sheep pig of all time, and Farmer Hogget knows it. With the help of the sheep dogs Babe learns that a pig can be anything that he wants to be.",14.404764,"['Universal Pictures', 'Kennedy Miller Productions']",1995-07-18,254134910.0,89.0,Released,A little pig goes a long way.,Babe,6.0,756.0,1995.0,"['christinecavanaugh', 'miriammargolyes', 'dannymann']","['sheep', 'pig', 'affect', 'piglet', 'talkinganim', 'separ', 'germanshepherd', 'talkingpig']",18,11,"['chrisnoonan', 'chrisnoonan', 'chrisnoonan']",sheep pig affect piglet talkinganim separ germanshepherd talkingpig christinecavanaugh miriammargolyes dannymann chrisnoonan chrisnoonan chrisnoonan Fantasy Drama Comedy Family,5.967529821255775,8.471163666666667
0,11000000.0,['Drama'],687,en,A justice drama based on a true story about a man on death row who in his last days forms a strong relationship with a nun who teaches him forgiveness and gives him spirituality as she accompanies him to his execution. Susan Sarandon won an Oscar for best female actress for her convincing portrayal of Sister Helen Prejean.,6.891317,"['Havoc', 'PolyGram Filmed Entertainment', 'Working Title Films']",1995-12-29,39363635.0,122.0,Released,,Dead Man Walking,7.3,350.0,1995.0,"['susansarandon', 'seanpenn', 'robertprosky']","['prison', 'rape', 'sociallydeprivedfamili', 'penalti', 'deathpenalti', 'despair', 'deathrow', 'begnadigung', 'therapist', 'self-discoveri', 'prisoncel', 'courtcas', 'deathsent', 'doomedman', 'sentenc', 'lethalinject', 'forgiv', 'chariti', 'rageandh', 'unsoci', 'rightandjustic', 'court', 'electricchair', 'cowardli']",42,95,"['timrobbins', 'timrobbins', 'timrobbins']",prison rape sociallydeprivedfamili penalti deathpenalti despair deathrow begnadigung therapist self-discoveri prisoncel courtcas deathsent doomedman sentenc lethalinject forgiv chariti rageandh unsoci rightandjustic court electricchair cowardli susansarandon seanpenn robertprosky timrobbins timrobbins timrobbins Drama,7.118483347047578,3.5785122727272727
1,18000000.0,"['Action', 'Fantasy']",9312,en,"For nine generations an evil sorcerer has been victorious in hand-to-hand battle against his mortal enemies. If he wins a tenth Mortal Kombat tournament, desolation and evil will reign over the multiverse forever. To save Earth, three warriors must overcome seemingly insurmountable odds, their own inner demons, and superhuman foes in this action/adventure movie based on one of the most popular video games of all time.",10.870138,"['New Line Cinema', 'Threshold Entertainment']",1995-08-18,122195920.0,101.0,Released,Nothing In This World Has Prepared You For This.,Mortal Kombat,5.4,452.0,1995.0,"['christopherlambert', 'robinshou', 'lindenashby']","['martialart', 'monster', 'island', 'gore', 'sorcer', 'tournament', 'violenc', 'basedonvideogam', 'handtohandcombat']",11,15,"['paulw.s.anderson', 'paulw.s.anderson', 'paulw.s.anderson']",martialart monster island gore sorcer tournament violenc basedonvideogam handtohandcombat christopherlambert robinshou lindenashby paulw.s.anderson paulw.s.anderson paulw.s.anderson Action Fantasy,5.389150079288127,6.788662222222222
0,20000000.0,"['Fantasy', 'Drama', 'Comedy', 'Thriller']",577,en,"Susan wants to work in television and will therefore do anything it takes, even if it means killing her husband. A very dark comedy from independent director Gus Van Sant with a brilliant Nicole Kidman in the leading role.",10.448481,"['The Rank Organisation', 'Columbia Pictures Corporation']",1995-05-20,21284514.0,106.0,Released,All she wanted was a little attention.,To Die For,6.7,177.0,1995.0,"['nicolekidman', 'mattdillon', 'joaquinphoenix']","['adulteri', 'winter', 'obsess', 'televis', 'newhampshir']",14,16,"['gusvansant', 'gusvansant', 'gusvansant']",adulteri winter obsess televis newhampshir nicolekidman mattdillon joaquinphoenix gusvansant gusvansant gusvansant Fantasy Drama Comedy Thriller,6.466585323647726,1.0642257
0,10000000.0,"['Drama', 'Romance']",11861,en,"Soon-to-be-wed graduate student Finn Dodd develops cold feet when she suspects her fiancé is cheating on her. In order to clear her head, Finn visits her grandmother, Hy, and great aunt, Glady Joe Cleary, in Grasse, Calif. There, Finn learns that Hy and Glady Joe are members of a group of passionate quilters, and over the course of her visit she is regaled with tales of love and life by women who have collected rich experiences and much wisdom.",4.485958,"['Universal Pictures', 'Amblin Entertainment']",1995-10-06,23574130.0,116.0,Released,There's beauty in the patterns of life.,How To Make An American Quilt,6.5,38.0,1995.0,"['winonaryder', 'annebancroft', 'ellenburstyn']","['weddingvow', 'marriagepropos', 'marriedcoupl', 'advic', 'marriag', 'love', 'familyholiday', 'extramaritalaffair', 'grandmoth', 'womandirector']",34,18,"['jocelynmoorhouse', 'jocelynmoorhouse', 'jocelynmoorhouse']",weddingvow marriagepropos marriedcoupl advic marriag love familyholiday extramaritalaffair grandmoth womandirector winonaryder annebancroft ellenburstyn jocelynmoorhouse jocelynmoorhouse jocelynmoorhouse Drama Romance,5.915288885113943,2.357413
0,33000000.0,"['Crime', 'Mystery', 'Thriller']",807,en,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",18.45743,"['New Line Cinema', 'Juno Pix', 'Cecchi Gori Pictures']",1995-09-22,327311859.0,127.0,Released,Seven deadly sins. Seven ways to die.,Se7en,8.1,5915.0,1995.0,"['bradpitt', 'morganfreeman', 'gwynethpaltrow']","['self-fulfillingpropheci', 'detect', 's.w.a.t.', 'drugdeal', 'eviscer', 'lustandimpuls', 'rageandh', 'prideandvan', 'insomnia', 'investig', 'pension', 'polic', 'serialkil']",49,91,"['davidfincher', 'davidfincher', 'davidfincher']",self-fulfillingpropheci detect s.w.a.t. drugdeal eviscer lustandimpuls rageandh prideandvan insomnia investig pension polic serialkil bradpitt morganfreeman gwynethpaltrow davidfincher davidfincher davidfincher Crime Mystery Thriller,8.083683376237532,9.918541181818181
1,55000000.0,"['Adventure', 'Animation', 'Drama', 'Family']",10530,en,"History comes gloriously to life in Disney's epic animated tale about love and adventure in the New World. Pocahontas is a Native American woman whose father has arranged for her to marry her village's best warrior. But a vision tells her change is coming, and soon she comes face to face with it in the form of Capt. John Smith.",13.280069,"['Walt Disney Pictures', 'Walt Disney Feature Animation']",1995-06-14,346079773.0,81.0,Released,An American legend comes to life.,Pocahontas,6.7,1509.0,1995.0,"['irenebedard', 'melgibson', 'davidogdenstiers']","['cultureclash', 'settler', 'forbiddenlov', 'coloni', 'music', 'goldrush', 'princess', 'romanc', 'nativeamerican', 'anim', 'virginia', 'starcrossedlov', 'crossculturalrelationship', 'musket', 'basedonmythsorfolklor', '17thcenturi', 'song', 'animalsidekick']",16,31,"['mikegabriel', 'mikegabriel', 'mikegabriel']",cultureclash settler forbiddenlov coloni music goldrush princess romanc nativeamerican anim virginia starcrossedlov crossculturalrelationship musket basedonmythsorfolklor 17thcenturi song animalsidekick irenebedard melgibson davidogdenstiers mikegabriel mikegabriel mikegabriel Adventure Animation Drama Family,6.6679508345941185,6.292359509090909
0,6000000.0,"['Drama', 'Crime', 'Thriller']",629,en,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.",16.302465,"['Blue Parrot Productions', 'Bad Hat Harry Productions']",1995-07-19,23341568.0,106.0,Released,Five Criminals. One Line Up. No Coincidence.,The Usual Suspects,8.1,3334.0,1995.0,"['stephenbaldwin', 'gabrielbyrne', 'chazzpalminteri']","['law', 'relat', 'theft', 'crimin', 'criminalmastermind', 'hungarian', 'sibl']",18,64,"['bryansinger', 'bryansinger', 'bryansinger']",law relat theft crimin criminalmastermind hungarian sibl stephenbaldwin gabrielbyrne chazzpalminteri bryansinger bryansinger bryansinger Drama Crime Thriller,8.071183166700303,3.890261333333333
0,15000000.0,"['Comedy', 'Romance']",11448,en,"When Lenny and his wife, Amanda, adopt a baby, Lenny realizes that his son is a genius and becomes obsessed with finding the boy's biological mother in hopes that she will be brilliant too. But when he learns that Max's mother is Linda Ash, a kindhearted prostitute and porn star, Lenny is determined to reform her immoral lifestyle. A Greek chorus chimes in to relate the plot to Greek mythology in this quirky comedy.",15.899134,"['Miramax Films', 'Magnolia Pictures']",1995-09-13,6700000.0,95.0,Released,,Mighty Aphrodite,6.7,145.0,1995.0,"['woodyallen', 'mirasorvino', 'helenabonhamcarter']","['prostitut', 'adopt', 'adoptivefath', 'childless', 'lookingforbirthpar', 'adoptivemoth', 'independentfilm', 'illegalprostitut', 'child']",12,30,"['woodyallen', 'woodyallen', 'woodyallen']",prostitut adopt adoptivefath childless lookingforbirthpar adoptivemoth independentfilm illegalprostitut child woodyallen mirasorvino helenabonhamcarter woodyallen woodyallen woodyallen Comedy Romance,6.425089381185099,0.44666666666666666
1,3500000.0,['Comedy'],10634,en,"Craig and Smokey are two guys in Los Angeles hanging out on their porch on a Friday afternoon, smoking and drinking, looking for something to do.",14.56965,['New Line Cinema'],1995-04-26,28215918.0,91.0,Released,A lot can go down between thursday and saturday...,Friday,7.0,513.0,1995.0,"['icecube', 'christucker', 'nialong']","['rapmus', 'parentchildrelationship', 'rapper', 'job']",18,5,"['f.garygray', 'f.garygray', 'f.garygray']",rapmus parentchildrelationship rapper job icecube christucker nialong f.garygray f.garygray f.garygray Comedy,6.891087752944011,8.061690857142857
